provinsi,kabupaten,nik,nama,ttl,gender,goldar,alamat,rtrw,kelurahan,kecamatan,agama,perkawinan,pekerjaan,kewarganegaraan,berlaku,sign_place,sign_date
PROVINSI JAWA TENGAH,KOTA SEMARANG,3374022709802195,JONAS JAHJA,"SEMARANG UTARA, 27-09-1980",PEREMPUAN,O,JL. JOHARI KEBAYORAN LAMA,024/026,PANGGUNG KIDUL,SEMARANG UTARA,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,KOTA SEMARANG,05-09-2015
PROVINSI JAMBI,KABUPATEN BUNGO,1508090307891464,REZA PRIBADI,"BUNGO, 03-07-1989",LAKI-LAKI,B,JL MH THAMRIN 8-9 GED EXIM MELATI,021/026,KARYA HARAPAN MUKTI,PELEPAT ILIR,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BUNGO,07-12-2012
PROVINSI JAWA TENGAH,KABUPATEN CILACAP,3301212704833661,GRANT MOON-TAE KIM,"CILACAP SELATAN, 27-04-1983",LAKI-LAKI,-,JL CEMARA II KOMPL PONDOK CEMARA,023/001,TEGALREJA,CILACAP SELATAN,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,CILACAP,29-03-2016
PROVINSI KALIMANTAN SELATAN,KABUPATEN KOTABARU,6302120104957818,RICKY HARUN,"SAMPANAHAN, 01-04-1995",LAKI-LAKI,AB,JL CIPINANG MUARA II RUSUN GURU,011/021,GUNUNG BATU BESAR,SAMPANAHAN,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KOTABARU,17-12-2010
PROVINSI ACEH,KABUPATEN ACEH TENGAH,1104210505888117,ARWAN AHIMSA,"RUSIP ANTARA, 05-05-1988",PEREMPUAN,O,JL MERUYA ILIR RAYA 20 A,020/023,LUT JAYA,RUSIP ANTARA,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,ACEH TENGAH,06-01-2019
PROVINSI JAWA TIMUR,KABUPATEN JOMBANG,3517130610583025,SUHADI ZAINI,"TEMBELANG, 06-10-1958",LAKI-LAKI,B,JL CILILITAN KECIL III,008/024,JATIWATES,TEMBELANG,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,JOMBANG,26-12-2020
PROVINSI JAWA TIMUR,KABUPATEN BONDOWOSO,3511022409954217,YENI ROHAENI,"TAMANAN, 24-09-1995",LAKI-LAKI,O,JL WOLTER MONGINSIDI RAYA 125,026/027,WONOSUKO,TAMANAN,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BONDOWOSO,21-03-2011
PROVINSI JAWA TENGAH,KABUPATEN PURWOREJO,3306081810875823,HERLINE GOENAWAN,"PURWOREJO, 18-10-1987",PEREMPUAN,O,JL PALEM VI 70,013/026,BAYAN,BAYAN,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,PURWOREJO,02-04-2018
PROVINSI JAWA TIMUR,KABUPATEN TULUNGAGUNG,3504060809865746,HUSNI MUCHTAR,"TULUNGAGUNG, 08-09-1986",PEREMPUAN,O,JL TEBET RAYA 58,016/010,PENJOR,PAGERWOJO,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,TULUNGAGUNG,01-09-2014
PROVINSI JAWA TIMUR,KABUPATEN NGANJUK,3518160509683918,ANDREW MELLON PRIASMORO,"NGANJUK, 05-09-1968",PEREMPUAN,A,JL SUMUR BATU IV BL C/18,023/007,TRITIK,REJOSO,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,NGANJUK,24-06-2018
PROVINSI JAWA TIMUR,KABUPATEN BONDOWOSO,3511061406777387,WIDA MARTHA SARI NEWTON,"GRUJUGAN, 14-06-1977",PEREMPUAN,A,JL JEND SUDIRMAN 28 WISMA GKBI,003/015,WANISODO,GRUJUGAN,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BONDOWOSO,27-11-2010
PROVINSI SUMATERA UTARA,KABUPATEN SIMALUNGUN,1208231209754567,EUNICE MERIATI SATYONO,"SIMALUNGUN, 12-09-1975",LAKI-LAKI,B,JL ABDUL MUIS 52-56-A,011/019,PARDAGANGAN II,BANDAR,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,SIMALUNGUN,12-03-2014
PROVINSI SUMATERA SELATAN,KOTA PRABUMULIH,1674042607607918,PITER KOROMPIS,"RAMBANG KPK TENGAH, 26-07-1960",LAKI-LAKI,O,JL PD JAYA II 21,014/014,RAMBANG SENULING,RAMBANG KPK TENGAH,ISLAM,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,KOTA PRABUMULIH,17-09-2010
PROVINSI P A P U A,KABUPATEN YAHUKIMO,9113012503938010,JEFFERY FRESHEN SIHOMBING,"YAHUKIMO, 25-03-1993",PEREMPUAN,B,JL MITRA SUNTER BOULEVARD KAV 90/C-2,015/020,LOTIA,KURIMA,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,YAHUKIMO,08-08-2015
PROVINSI LAMPUNG,KABUPATEN LAMPUNG BARAT,1804042503812301,RONALD POTTER,"LAMPUNG BARAT, 25-03-1981",PEREMPUAN,A,JL ARJUNA SLT 168,011/007,GUNUNG SUGIH,BALIK BUKIT,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,LAMPUNG BARAT,19-06-2013
PROVINSI P A P U A,KABUPATEN PUNCAK JAYA,9107032310970847,HERMAN NAGARIA,"ILU, 23-10-1997",LAKI-LAKI,O,JL JEND SUDIRMAN 28,008/005,BELANTARA,ILU,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PUNCAK JAYA,29-12-2019
PROVINSI P A P U A,KABUPATEN MAPPI,9117081809601574,SUTONO NITISASTRO,"MAPPI, 18-09-1960",PEREMPUAN,B,JL H NAMAN 20,003/001,TOKHOMPATU,PASSUE,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,MAPPI,16-02-2015
PROVINSI JAWA BARAT,KABUPATEN MAJALENGKA,3210091507928538,RADIUS CHRISTANTO,"RAJAGALUH, 15-07-1992",PEREMPUAN,A,JL MERUYA ILIR RAYA 20 A,005/006,PAYUNG,RAJAGALUH,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,MAJALENGKA,26-02-2020
PROVINSI SUMATERA BARAT,KOTA PARIAMAN,1377041610966722,NANCY NARSIS RUNTUWENE,"PARIAMAN TIMUR, 16-10-1996",PEREMPUAN,B,JL RAYA TENGAH 30,012/018,AIR SANTOK,PARIAMAN TIMUR,KRISTEN,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KOTA PARIAMAN,27-08-2013
PROVINSI JAWA TENGAH,KABUPATEN SRAGEN,3314050203803489,NICO KRISNANTO,"SRAGEN, 02-03-1980",PEREMPUAN,AB,TAMAN NYIUR BLOK N NO.10C,015/004,SAMBIREJO,SAMBIREJO,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SRAGEN,27-12-2012
PROVINSI JAWA BARAT,KABUPATEN MAJALENGKA,3210112909792872,ERRIC B. WIBOWO,"MAJALENGKA, 29-09-1979",PEREMPUAN,B,JL BEKASI RAYA KM 25,014/011,MEKARSARI,JATIWANGI,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MAJALENGKA,25-01-2013
PROVINSI JAWA TENGAH,KABUPATEN PEKALONGAN,3326111708036550,ABDUL RACHMAN,"PEKALONGAN, 17-08-2003",PEREMPUAN,A,JL LETJEN SUPRAPTO GRAHA CEMPAKA MAS BL D/12-A,014/006,JAJARWAYANG,BOJONG,ISLAM,CERAI HIDUP,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,PEKALONGAN,16-06-2015
PROVINSI PAPUA BARAT,KABUPATEN TAMBRAUW,9209120607762435,FEBRIYANTI ,"TAMBRAUW, 06-07-1976",LAKI-LAKI,B,JL APRON RUSUN APRON BL B-3/104,030/004,WARU,MUBRANI,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,TAMBRAUW,08-03-2015
PROVINSI SUMATERA UTARA,KABUPATEN SIMALUNGUN,1208090205733705,ERVIN WIJAYA,"SIDAMANIK, 02-05-1973",LAKI-LAKI,-,JL AGUNG NIAGA V BL G-5/41,030/027,SARIMATONDANG,SIDAMANIK,KATHOLIK,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,SIMALUNGUN,16-05-2015
PROVINSI JAWA TIMUR,KABUPATEN JEMBER,3509182403648828,HENDRA LIEM,"TEMPUREJO, 24-03-1964",LAKI-LAKI,O,JL KALIBATA TMR I 36 A,001/007,CURAHNONGKO,TEMPUREJO,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,JEMBER,16-03-2013
PROVINSI SULAWESI UTARA,KABUPATEN BOLAANG MONGONDOW,7101202107790995,JUSTO PADILLA NESTRO,"BOLAANG MONGONDOW, 21-07-1979",PEREMPUAN,O,JL MANGGA DUA RAYA HOTEL DUSIT MANGGA DUA,029/005,TANJUNG MARIRI,POIGAR,ISLAM,CERAI MATI,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,BOLAANG MONGONDOW,28-08-2011
PROVINSI SUMATERA UTARA,KABUPATEN KARO,1206080811570808,EKA SINTO KASIH TJIA,"KARO, 08-11-1957",PEREMPUAN,A,JL YRS I A/5,004/027,KUTAMBARU PUNTI,TIGABINANGA,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,KARO,16-03-2010
PROVINSI JAWA BARAT,KABUPATEN CIAMIS,3207083009872726,SYAHBANDI,"PANJALU, 30-09-1987",LAKI-LAKI,B,JL RAYA PASAR MINGGU,024/017,BAHARA,PANJALU,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,CIAMIS,24-07-2010
PROVINSI MALUKU,KABUPATEN MALUKU TENGGARA,8102171504721824,RIDWAN IRAWAN,"KEI BESAR UTARA BARAT, 15-04-1972",LAKI-LAKI,B,JL RAYA PEJUANGAN KEBON JERUK,025/008,AD OHOIWAF,KEI BESAR UTARA BARAT,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MALUKU TENGGARA,12-07-2012
PROVINSI RIAU,KABUPATEN INDRAGIRI HILIR,1404180111668433,ARIFIN YOHAN,"CONCONG, 01-11-1966",PEREMPUAN,O,JL WIJAYA II WIJAYA GRAHA PURI BL E/9-10,005/019,PANGLIMA RAJA,CONCONG,KRISTEN,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,INDRAGIRI HILIR,23-09-2010
PROVINSI JAWA BARAT,KABUPATEN BOGOR,3201042203774919,JOSO RAMLI,"SUKARAJA, 22-03-1977",LAKI-LAKI,A,JL PALEM VI 70,003/024,CIBANON,SUKARAJA,ISLAM,BELUM KAWIN,GURU,WNI,SEUMUR HIDUP,BOGOR,17-11-2015
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN KUPANG,5301200312895242,AGUS SUSANTO,"KUPANG, 03-12-1989",LAKI-LAKI,A,JL KELAPA HYBRIDA VI KOMPL KELAPA GADING PERMAI BL RB-XIII/2,011/024,OENUNTONO,AMABI OEFETO TIMUR,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KUPANG,19-06-2015
PROVINSI JAWA TENGAH,KABUPATEN KENDAL,3324162909649533,HARTONO GUNAWAN,"KENDAL, 29-09-1964",LAKI-LAKI,A,JL KAPT P TENDEAN 15,029/007,TANJUNGSARI,ROWOSARI,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KENDAL,20-06-2010
PROVINSI JAWA TENGAH,KABUPATEN BANYUMAS,3302201104597013,MAYA HARTONO,"KEMBARAN, 11-04-1959",PEREMPUAN,O,JL SIAGA II C 21,024/014,PURWODADI,KEMBARAN,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,BANYUMAS,23-02-2017
PROVINSI SUMATERA UTARA,KABUPATEN NIAS SELATAN,1214260511616050,LUKMAN TJAJA,"SOMAMBAWA, 05-11-1961",LAKI-LAKI,O,JL PINTU AIR V 45,005/027,SIFITUBANUA,SOMAMBAWA,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,NIAS SELATAN,24-11-2018
PROVINSI RIAU,KABUPATEN KUANTAN SINGINGI,1409130210703968,BACHRUMSYAH HAMZAH,"KUANTAN HILIR SEBERANG, 02-10-1970",LAKI-LAKI,B,JL ARTERI PD INDAH 60,023/017,RAWANG OGUANG,KUANTAN HILIR SEBERANG,ISLAM,KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,KUANTAN SINGINGI,25-09-2013
PROVINSI BALI,KABUPATEN BULELENG,5108020305866173,GOH LAY LING,"BULELENG, 03-05-1986",PEREMPUAN,-,JL PROF SUPOMO SH KOMPL TRANSKOP 16,008/016,SULANYAH,SERIRIT,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,BULELENG,26-11-2013
PROVINSI SULAWESI SELATAN,KABUPATEN ENREKANG,7316011401030377,IRENE SUSANTO ADIKOESOEMO,"MAIWA, 14-01-2003",LAKI-LAKI,B,JL SUKAMULYA RAYA 18,012/025,PASANG,MAIWA,ISLAM,BELUM KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,ENREKANG,19-01-2020
PROVINSI JAWA TENGAH,KABUPATEN PEMALANG,3327011407782630,SRI RAHAYU SETYAWATI,"MOGA, 14-07-1978",PEREMPUAN,-,JL RAYA PAMULANG KOMPL GRIYA JAKARTA BL SH-19,008/005,PEPEDAN,MOGA,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,PEMALANG,02-10-2016
PROVINSI JAWA TENGAH,KOTA SEMARANG,3374092512869177,YAMIN WIDJAJA,"SEMARANG, 25-12-1986",LAKI-LAKI,O,JL RAYA TENGAH 30,011/014,SAMPANGAN,GAJAHMUNGKUR,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA SEMARANG,07-03-2010
PROVINSI SULAWESI SELATAN,KABUPATEN LUWU,7317031907779504,KATINI DEWI,"SULI, 19-07-1977",PEREMPUAN,A,JL LETJEN HARYONO MT KAV 16 WISMA MILLENIA,018/005,BOTTA,SULI,KATHOLIK,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LUWU,22-02-2020
PROVINSI JAWA TENGAH,KABUPATEN WONOSOBO,3307020107876678,ANG RIANTI,"KEPIL, 01-07-1987",LAKI-LAKI,O,JL GURU SERIH 38,006/027,KEPIL,KEPIL,KRISTEN,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,WONOSOBO,22-08-2016
PROVINSI JAWA TENGAH,KABUPATEN WONOSOBO,3307082201659118,STEPHAN PUTRA KURNIAWAN,"KERTEK, 22-01-1965",PEREMPUAN,A,JL KRAMAT KWITANG I-A 14-B,029/030,SINDUPATEN,KERTEK,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,WONOSOBO,08-12-2016
PROVINSI PAPUA BARAT,KABUPATEN SORONG,9201470703637338,TJOA SIOK LIM,"BUK, 07-03-1963",PEREMPUAN,AB,JL TULODONG ATAS 14,025/007,MIMPE,BUK,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,SORONG,15-09-2014
PROVINSI JAWA BARAT,KABUPATEN GARUT,3205131701876105,SOEGWANTO,"KERSAMANAH, 17-01-1987",LAKI-LAKI,B,"JLN LENGKENG, BEKASI",010/007,NANJUNGJAYA,KERSAMANAH,KATHOLIK,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,GARUT,15-02-2020
PROVINSI BENGKULU,KABUPATEN BENGKULU SELATAN,1701022511811826,YAU YUNG,"BENGKULU SELATAN, 25-11-1981",LAKI-LAKI,O,CLUB STORE SUDIRMAN CENTRAL BUSINESS DISTRICT,003/005,KOTA BUMI BARU,SEGINIM,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,BENGKULU SELATAN,25-08-2016
PROVINSI MALUKU UTARA,KABUPATEN KEPULAUAN SULA,8205063101604834,SUTANTO LEON PATRICK,"KEPULAUAN SULA, 31-01-1960",PEREMPUAN,O,JL TEBET BRT DALAM 30,007/022,LEKOSULA,MANGOLI BARAT,ISLAM,BELUM KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,KEPULAUAN SULA,26-05-2014
PROVINSI MALUKU UTARA,KABUPATEN HALMAHERA UTARA,8203060602670807,ROY E. TIRTADJI,"HALMAHERA UTARA, 06-02-1967",LAKI-LAKI,A,TMN PALEM LESTARI,028/010,TALAGA PACA,TOBELO SELATAN,ISLAM,BELUM KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,HALMAHERA UTARA,04-04-2020
PROVINSI ACEH,KABUPATEN ACEH TENGAH,1104192310944800,SORGATO WIDJAJA,"ACEH TENGAH, 23-10-1994",PEREMPUAN,A,JL DEWI SARTIKA 312,019/004,PAYA TUNGEL,JAGONG JEGET,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,ACEH TENGAH,18-10-2018
PROVINSI SULAWESI TENGAH,KABUPATEN TOJO UNA UNA,7209082906902251,NILA FATINA,"TOJO, 29-06-1990",PEREMPUAN,O,JL. PISANGAN LAMA 1/20,022/020,TAYAWA,TOJO,ISLAM,CERAI MATI,KARYAWAN HONORER,WNI,SEUMUR HIDUP,TOJO UNA UNA,12-06-2011
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN FLORES TIMUR,5306072711904157,DARMAWANSJAH SETIAWAN,"FLORES TIMUR, 27-11-1990",PEREMPUAN,O,JL METRO PERMATA BL H-2/2,006/005,WATOHARI,SOLOR TIMUR,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,FLORES TIMUR,10-01-2015
PROVINSI P A P U A,KABUPATEN PANIAI,9108211205764809,DEWI SALIM ,"PANIAI, 12-05-1976",PEREMPUAN,B,JL MAMPANG PRAPATAN RAYA 60,008/012,OGEIDA,EKADIDE,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,PANIAI,22-12-2018
PROVINSI KALIMANTAN BARAT,KABUPATEN SANGGAU,6103010405585641,RAJU KARAMCHANDANI,"SANGGAU, 04-05-1958",PEREMPUAN,A,JL H NAMAN 20,025/022,BERINGIN,KAPUAS,HINDU,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SANGGAU,13-02-2017
PROVINSI SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,1212240703975034,ELISABETH LINTJE,"PARMAKSIAN, 07-03-1997",PEREMPUAN,O,JL MENTENG ATAS 28,008/012,DOLOK NAULI,PARMAKSIAN,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,TOBA SAMOSIR,19-06-2020
PROVINSI BANTEN,KABUPATEN PANDEGLANG,3601171209715535,WIBOWO SUSENO WIRJAWAN,"MANDALAWANGI, 12-09-1971",LAKI-LAKI,O,JL GURU SERIH 38,002/028,RAMEA,MANDALAWANGI,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,PANDEGLANG,01-04-2018
PROVINSI MALUKU,KABUPATEN SERAM BAGIAN TIMUR,8105130504914368,SUGIANTO ADIWINATA,"KIAN DARAT, 05-04-1991",LAKI-LAKI,O,JL GELONG BARU 35,001/004,WATU WATU,KIAN DARAT,KATHOLIK,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,SERAM BAGIAN TIMUR,08-06-2010
PROVINSI KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,6402121802634244,MEI ING,"KUTAI KARTANEGARA, 18-02-1963",PEREMPUAN,A,JL DEWI SARTIKA 312,019/020,MUARA SALUNG,TABANG,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KUTAI KARTANEGARA,05-06-2017
PROVINSI JAWA TIMUR,KABUPATEN BOJONEGORO,3522062610739572,TEGUH ARIANTO BUDIMAN,"DANDER, 26-10-1973",LAKI-LAKI,B,JL PASAR KECAPI 31,028/023,GROWOK,DANDER,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BOJONEGORO,11-12-2016
PROVINSI JAWA TENGAH,KABUPATEN BANJARNEGARA,3304190308742878,MUCHSIN CIPUTRA,"BANJARNEGARA, 03-08-1974",LAKI-LAKI,-,JL KAJI 22 E,026/020,PRINGAMBA,PANDANARUM,KRISTEN,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BANJARNEGARA,24-09-2013
PROVINSI PAPUA BARAT,KABUPATEN MAYBRAT,9210160701906836,CHUNG SUNG CHAE,"MAYBRAT, 07-01-1990",PEREMPUAN,O,JL ARTERI KEDOYA 16,017/016,ADOH,AYAMARU JAYA,HINDU,BELUM KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,MAYBRAT,13-09-2011
PROVINSI MALUKU UTARA,KABUPATEN HALMAHERA SELATAN,8204222305977685,VIONA GUNAWAN,"HALMAHERA SELATAN, 23-05-1997",LAKI-LAKI,O,JL KEHAKIMAN III NO 3,012/005,WAYATIM,BACAN TIMUR TENGAH,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,HALMAHERA SELATAN,15-05-2011
PROVINSI BENGKULU,KABUPATEN SELUMA,1705050611970716,TJANDRA TERESNA WIDJAJA,"SELUMA, 06-11-1997",PEREMPUAN,B,JL TARUMANEGARA 39-D,003/013,SENDAWAR,SEMIDANG ALAS MARAS,KRISTEN,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,SELUMA,13-08-2012
PROVINSI KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,1904061002708868,BAYU PRAWITASARI,"BANGKA TENGAH, 10-02-1970",LAKI-LAKI,O,JL. KEBON JAHE 1 NO 07,017/027,LUBUK PABRIK,LUBUK BESAR,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BANGKA TENGAH,12-04-2012
PROVINSI JAWA TIMUR,KABUPATEN MAGETAN,3520092409979281,GUNAWAN SUBAGIO,"SUKOMORO, 24-09-1997",PEREMPUAN,A,JL RADAR AURI 49 RT 006/11,030/008,BIBIS,SUKOMORO,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,MAGETAN,04-09-2020
PROVINSI KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,1971070208846892,ISENTA HIOE,"PANGKAL PINANG, 02-08-1984",PEREMPUAN,A,JL JEND SUDIRMAN KAV 36 WISMA BENHIL,008/008,SRIWIJAYA,GIRIMAYA,KRISTEN,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTA PANGKAL PINANG,25-10-2010
PROVINSI JAWA TIMUR,KABUPATEN LUMAJANG,3508051907818178,DENNY WIJAYA,"TEMPEH, 19-07-1981",PEREMPUAN,-,JL RAYA TENGAH 30,014/022,PULO,TEMPEH,ISLAM,BELUM KAWIN,PEWAGAI NEGERI SIPIL,WNI,SEUMUR HIDUP,LUMAJANG,10-09-2014
PROVINSI BANTEN,KABUPATEN LEBAK,3602131709579128,MICHAEL SEABROOK,"MAJA, 17-09-1957",PEREMPUAN,B,JL NANGKA 18,001/030,PASIRKECAPI,MAJA,ISLAM,CERAI MATI,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,LEBAK,27-02-2011
PROVINSI MALUKU UTARA,KOTA TIDORE KEPULAUAN,8272061306718960,IDA BAGUS MADE PUTRA JANDHANA,"OBA TENGAH, 13-06-1971",LAKI-LAKI,B,JL MERUYA ILIR RAYA 83 C,016/030,LOLA,OBA TENGAH,ISLAM,BELUM KAWIN,SOPIR,WNI,SEUMUR HIDUP,KOTA TIDORE KEPULAUAN,14-03-2016
PROVINSI SUMATERA UTARA,KABUPATEN SIMALUNGUN,1208011211866763,SUSANTI PHENG,"SIMALUNGUN, 12-11-1986",PEREMPUAN,O,JL. PLUIT KARANG AYU BLOK B1 UTARA,006/016,MARIHAT BARIS,SIANTAR,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,SIMALUNGUN,14-02-2020
PROVINSI SUMATERA UTARA,KABUPATEN SAMOSIR,1217070503027275,BAMBANG TIJOSO TEDJOKUSUMO,"RONGGUR NIHUTA, 05-03-2002",PEREMPUAN,O,JL PALEM VI,018/021,PARADUAN,RONGGUR NIHUTA,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SAMOSIR,27-04-2012
PROVINSI JAWA BARAT,KABUPATEN SUBANG,3213040906893378,MARTINUS ARIEF LIMANDOKO,"KALIJATI, 09-06-1989",LAKI-LAKI,B,JL KH HASYIM ASHARI 35-A,008/020,KALIJATI TIMUR,KALIJATI,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SUBANG,24-04-2014
PROVINSI SULAWESI UTARA,KABUPATEN KEPULAUAN TALAUD,7104112404033636,NORDIANSYAH NASRI,"SALIBABU, 24-04-2003",LAKI-LAKI,B,KOMPL TAMAN ARIES BL H-3,021/026,BITUNURIS,SALIBABU,ISLAM,CERAI HIDUP,PERANGKAT DESA,WNI,SEUMUR HIDUP,KEPULAUAN TALAUD,01-08-2019
PROVINSI JAWA TENGAH,KABUPATEN BLORA,3316051712910362,DR HMNM HASYIM NING,"BLORA, 17-12-1991",PEREMPUAN,B,JL JEND GATOT SUBROTO KAV 35-36,016/010,KENTONG,CEPU,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,BLORA,03-05-2012
PROVINSI SULAWESI TENGGARA,KABUPATEN KONAWE SELATAN,7405221904570930,OSBERT KOSASIH,"RANOMEETO BARAT, 19-04-1957",PEREMPUAN,B,JL BUARAN III,008/021,SINDANG KASIH,RANOMEETO BARAT,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,KONAWE SELATAN,23-04-2018
PROVINSI BANTEN,KABUPATEN LEBAK,3602131405770973,LEDRES MARIO,"LEBAK, 14-05-1977",LAKI-LAKI,A,JL RAYA PASAR MINGGU 26-B,021/003,MAJA,MAJA,ISLAM,CERAI MATI,BURUH HARIAN LEPAS,WNI,SEUMUR HIDUP,LEBAK,07-01-2020
PROVINSI JAWA TIMUR,KABUPATEN KEDIRI,3506140106913589,HENGKY KUNTA ADJIE,"PAPAR, 01-06-1991",PEREMPUAN,B,JERUK PURUT KEMANG,014/002,DAWUHAN KIDUL,PAPAR,ISLAM,BELUM KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,KEDIRI,27-04-2013
